Game ID,SteamDB score
549670,50.00%
549700,71.49%
549740,79.42%
549770,37.29%
549780,42.83%
549790,59.60%
549850,77.07%
549860,82.83%
549880,53.59%
549900,53.23%
549910,57.25%
549920,74.78%
549950,62.90%
550010,83.51%
550080,82.33%
550160,-1
549390,64.87%
549400,62.89%
549000,64.06%
549030,32.41%
549040,50.00%
549090,80.52%
549100,70.40%
549160,73.41%
549170,60.20%
549180,63.43%
549190,77.40%
549220,-1
549260,77.42%
549280,57.39%
548650,63.44%
548680,77.51%
548710,45.31%
548720,76.58%
548740,52.39%
548760,46.90%
548790,-1
548810,70.11%
548840,81.56%
548860,67.59%
548170,55.69%
548220,-1
548230,74.77%
548240,66.83%
548260,45.83%
548280,53.53%
548290,48.01%
548320,55.55%
548330,84.16%
548340,85.88%
548350,29.43%
548360,60.54%
548370,46.30%
548390,63.89%
548450,70.99%
548470,52.39%
548480,35.77%
548500,73.87%
548560,61.27%
548570,59.81%
547710,54.69%
547730,52.78%
547740,50.00%
547750,76.61%
547820,55.21%
547840,58.75%
547850,71.44%
547860,54.96%
547870,59.88%
547880,44.34%
547900,75.15%
547920,44.31%
547930,58.05%
547960,50.07%
547970,54.33%
547980,79.68%
547990,55.66%
548010,51.10%
548020,50.73%
548050,72.28%
548080,62.05%
548110,-1
548130,78.75%
547340,78.13%
547360,71.59%
547370,-1
547390,84.49%
547410,60.90%
547440,63.06%
547470,46.32%
547480,84.66%
547520,56.32%
547540,76.50%
547590,78.92%
547670,-1
547680,67.14%
546900,46.08%
546930,51.96%
546940,-1
546960,32.07%
546980,33.05%
546990,49.05%
547000,59.60%
547040,40.34%
547050,77.75%
547090,56.00%
547120,75.64%
547130,57.39%
547140,69.91%
547150,61.11%
547200,69.44%
547210,-1
547250,40.03%
547260,68.24%
547280,-1
547310,61.27%
546600,64.83%
546610,47.41%
546650,62.98%
546660,44.58%
546670,-1
546700,61.29%
546780,73.25%
546800,50.00%
546820,53.23%
546870,57.39%
546200,77.02%
546210,54.30%
546220,75.08%
546230,68.26%
546240,46.02%
546330,75.64%
546340,41.32%
546350,60.68%
546390,90.05%
546400,37.29%
546410,75.71%
546430,72.48%
546440,35.22%
546460,71.00%
546490,47.19%
546500,-1
545700,41.74%
545720,-1
545750,-1
545800,57.03%
545820,57.49%
545830,65.02%
545840,-1
545850,73.89%
545860,55.34%
545880,-1
545890,64.76%
545910,-1
